sample_name,query,asv_read_index,asv_read_raw,asv_pa
E001,ASV327,0,0,0
E001,ASV332,0,0,0
E001,ASV333,0,0,0
E001,ASV334,0,0,0
E001,ASV335,0,0,0
E001,ASV337,0,0,0
E001,ASV338,0,0,0
E001,ASV339,0,0,0
E001,ASV34,0,0,0
E001,ASV343,0,0,0
E001,ASV344,0,0,0
E001,ASV345,0,0,0
E001,ASV349,0,0,0
E001,ASV35,0,0,0
E001,ASV351,0,0,0
E001,ASV352,0,0,0
E001,ASV354,0,0,0
E001,ASV356,0,0,0
E001,ASV357,0,0,0
E001,ASV358,0,0,0
E001,ASV359,0,0,0
E001,ASV36,0,0,0
E001,ASV360,0,0,0
E001,ASV362,0,0,0
E001,ASV364,0,0,0
E001,ASV365,0,0,0
E001,ASV367,0,0,0
E001,ASV368,0,0,0
E001,ASV369,0,0,0
E001,ASV37,0,0,0
E001,ASV372,0,0,0
E001,ASV373,0,0,0
E001,ASV375,0,0,0
E001,ASV376,0,0,0
E001,ASV377,1,612,1
E001,ASV378,0,0,0
E001,ASV379,0,0,0
E001,ASV381,0,0,0
E001,ASV384,0,0,0
E001,ASV385,0,0,0
E001,ASV386,0,0,0
E001,ASV387,0,0,0
E001,ASV389,0,0,0
E001,ASV39,0,0,0
E001,ASV391,0,0,0
E001,ASV392,0,0,0
E001,ASV394,0,0,0
E001,ASV395,0,0,0
E001,ASV4,0,0,0
E001,ASV400,0,0,0
E001,ASV401,0,0,0
E001,ASV402,0,0,0
E001,ASV404,0,0,0
E001,ASV405,0,0,0
E001,ASV406,1,523,1
E001,ASV407,0,0,0
E001,ASV408,1,506,1
E001,ASV409,0,0,0
E001,ASV41,0,0,0
E001,ASV411,0,0,0
E001,ASV412,0,0,0
E001,ASV413,0,0,0
E001,ASV414,0,0,0
E001,ASV417,0,0,0
E001,ASV419,0,0,0
E001,ASV42,0,0,0
E001,ASV420,0,0,0
E001,ASV422,0,0,0
E001,ASV423,0,0,0
E001,ASV424,1,462,1
E001,ASV426,0,0,0
E001,ASV427,0,0,0
E001,ASV428,0,0,0
E001,ASV429,0,0,0
E001,ASV43,0,0,0
E001,ASV430,0,0,0
E001,ASV431,0,0,0
E001,ASV432,0,0,0
E001,ASV433,0,0,0
E001,ASV434,0,0,0
E001,ASV435,0,0,0
E001,ASV436,0,0,0
E001,ASV437,0,0,0
E001,ASV439,0,0,0
E001,ASV44,0,0,0
E001,ASV440,0,0,0
E001,ASV441,0,0,0
E001,ASV443,0,0,0
E001,ASV444,0,0,0
E001,ASV445,0,0,0
E001,ASV446,0,0,0
