"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV11",0.394248443996435,0.122744955896527,0.221843976082367,0.131398934552419,0.153629801772947,0.20651133247412,0.749832634333222,0.744049484591511,0.314276885293122,0.0349840752826499,0.751947860458155,0.293277900141581,0.165890584389472,0.236425338586975,0.158709932667296,0.17957033272553,0.144619240601492,0.154123509382122
"ASV12",0.203329639966302,0.7421737901531,0.198464712090389,0.163646575970427,0.181957917145725,0.979178186592786,0.160247687567406,0.144051603985777,0.1645233819334,0.0268999542319859,0.131577649578381,0.167711584845663,0.174381072731898,0.136436020300772,0.0960455469577422,0.975918513660258,0.176097513994314,0.74029494021617
"ASV13",0.0098138971258801,0.167874413559742,0.704222649700645,0.157890811939528,0.739135132914411,0.871489534397032,0.0531361810704698,0.169825471278925,0.178100067623169,0.99000284327396,0.159560911394733,0.977154708002305,0.151671481646183,0.150903715611923,0.155640759463422,0.747461947513838,0.192137910541416,0.743905125356584
"ASV14",0.903275958820566,0.981212868856818,0.0242381770533847,0.166477548016713,0.1475708646368,0.179521676700706,0.979688680377718,0.133610260750503,0.13251490774744,0.00627464678059155,0.134595841506675,0.753613939203924,0.157470649049173,0.743993657188317,0.136071953088291,0.122093414847683,0.150547357653969,0.736892210522907
"ASV15",0.980631291952757,0.978399416248851,0.650529494278577,0.12321202100094,0.228250410323108,0.741935073870489,0.16484662017579,0.130183871987237,0.157062915457752,0.00731037646676281,0.958800235086825,0.162376774932743,0.591574512289888,0.159595882258462,0.733732836926899,0.977139220397626,0.958588415686477,0.73975675650307
"ASV16",0.692564969556366,0.726605344285738,0.185437958455344,0.147350514873297,0.124122816262524,0.152949691687174,0.1442117242777,0.143690878494755,0.152633735801835,0.000804258933003525,0.189401941461647,0.0191826799069039,0.144652937577366,0.159264021766799,0.15816384603805,0.154546119366619,0.264430342298945,0.174522935307394
"ASV17",0.00106606314021667,0.747350698607107,0.115137292214741,0.137699019665393,0.17367429662585,0.14108572396585,0.198332044596244,0.15682124428192,0.748407106932516,0.281833246869516,0.132351047572046,0.137554195803099,0.186578900747639,0.135886145234739,0.161620767555264,0.168347701232775,0.293946630659854,0.153460859723029
"ASV18",0.0087253883626262,0.145062757517748,0.271038072037269,0.162295664706487,0.200221593327988,0.171477588186215,0.19512566251652,0.166406668289826,0.20038940910147,0.00763502426733225,0.184326112961787,0.180851098935492,0.189982941730996,0.146155382595759,0.16358244163933,0.737191491233939,0.147319817440512,0.165540186829418
"ASV19",0.590498844750915,0.142318925372291,0.146634122523385,0.156208660768133,0.742818056438067,0.174486849632219,0.174468232090768,0.187214025690057,0.190475025541789,0.00471516786170602,0.122744955896527,0.221843976082367,0.131398934552419,0.00535677308227484,0.20651133247412,0.162095011929848,0.160751544271938,0.561692808819649
"ASV20",0.250264786049379,0.745395645651288,0.729462600692038,0.148335269095195,0.154546552783736,0.169367000271433,0.152872319815062,0.273204955795828,0.148784228867456,0.00139628835220453,0.145497937049813,0.719638714516271,0.163646575970427,0.181957917145725,0.734867554491667,0.160247687567406,0.144051603985777,0.749651497937533
"ASV21",0.0284641765993205,0.148646453327368,0.24161721841442,0.167346042960709,0.131404120679333,0.285957703694583,0.148851948481897,0.290228124247563,0.1525597991849,0.0098138971258801,0.167874413559742,0.290719976248476,0.157890811939528,0.739135132914411,0.327101356314361,0.0531361810704698,0.169825471278925,0.178100067623169
"ASV23",0.0560310380025001,0.126301422083772,0.298549660485973,0.146936127803859,0.13767138129874,0.179207846343518,0.636674664442926,0.249153603233056,0.125157218013515,0.00487697859509618,0.140423222284466,0.0242381770533847,0.166477548016713,0.1475708646368,0.179521676700706,0.130600553772914,0.133610260750503,0.13251490774744
"ASV24",0.0602535619035207,0.748076408334124,0.152960975969268,0.162443317194011,0.15959368455318,0.135275209257581,0.154685054170914,0.177891514146999,0.020189749750742,0.0227670244431543,0.138161341720109,0.0513369524875303,0.12321202100094,0.228250410323108,0.175367924098674,0.16484662017579,0.130183871987237,0.157062915457752
"ASV25",0.186500756017822,0.728769531861865,0.147032113963612,0.155151692482027,0.192553193927104,0.13394586418119,0.153293663372892,0.159477865688018,0.190712073926801,0.244316543938985,0.1442512619487,0.185437958455344,0.147350514873297,0.727117021883728,0.152949691687174,0.1442117242777,0.143690878494755,0.152633735801835
"ASV26",0.237645641557942,0.752855335020404,0.673166465810754,0.136890602345649,0.0205087696428822,0.231518795490159,0.139063924983995,0.156036958569496,0.179945713994696,0.00106606314021667,0.164913177455337,0.115137292214741,0.137699019665393,0.17367429662585,0.14108572396585,0.198332044596244,0.15682124428192,0.19906201407483
"ASV27",0.974988790163006,0.147582526848538,0.121127773629254,0.16370915532638,0.748184327445271,0.151737609414434,0.162534359256758,0.172686102010978,0.162626011495839,0.0087253883626262,0.728872430349588,0.271038072037269,0.976545704171823,0.200221593327988,0.171477588186215,0.721687896266135,0.166406668289826,0.20038940910147
"ASV28",0.628449702074085,0.978272077074906,0.0187842657873855,0.178038158683759,0.146243887096554,0.126404027563,0.158926808235804,0.193381495612868,0.144025733811795,0.205304405712577,0.142318925372291,0.146634122523385,0.156208660768133,0.170935838273102,0.174486849632219,0.174468232090768,0.187214025690057,0.190475025541789
"ASV29",0.597823329510555,0.15392618662096,0.00049298974983344,0.0211938407289943,0.978401627151597,0.173277250202299,0.190805294461727,0.745434238610738,0.169079058030413,0.250264786049379,0.978782551075824,0.729462600692038,0.977265664602926,0.733049961850716,0.735913643639651,0.978581737806936,0.273204955795828,0.743419579184359
"ASV30",0.158052944308145,0.161895997765148,0.501392863125845,0.123238484080042,0.176917976086308,0.152114234359652,0.13622106737662,0.153531293129748,0.142700849009446,0.0284641765993205,0.148646453327368,0.24161721841442,0.744528923734853,0.131404120679333,0.285957703694583,0.148851948481897,0.290228124247563,0.1525597991849
