"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV20",0.330387166377829,0.759398889453214,0.759398889453214,0.330387166377829,0.330387166377829,0.330387166377829,0.330387166377829,0.330387166377829,0.330387166377829,0.330387166377829,0.330387166377829,0.759398889453214,0.330387166377829,0.330387166377829,0.759398889453214,0.330387166377829,0.330387166377829,0.759398889453214
"ASV21",0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573,0.684858761242701,0.229665963380573,0.229665963380573,0.229665963380573,0.229665963380573
"ASV23",0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.683584937705268,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197,0.222737658057197
"ASV24",0.215863799147681,0.678538319710649,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681,0.215863799147681
"ASV25",0.225537384724635,0.66241664598869,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635,0.66241664598869,0.225537384724635,0.225537384724635,0.225537384724635,0.225537384724635
"ASV26",0.683149541804638,0.683149541804638,0.683149541804638,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447,0.254132126391447
"ASV27",0.984975347899488,0.102260271069536,0.102260271069536,0.102260271069536,0.732095945589009,0.102260271069536,0.102260271069536,0.102260271069536,0.102260271069536,0.102260271069536,0.732095945589009,0.102260271069536,0.984975347899488,0.102260271069536,0.102260271069536,0.732095945589009,0.102260271069536,0.102260271069536
"ASV28",0.660021662757364,0.978456571338464,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765,0.0766241498777765
"ASV29",0.890702651634188,0.252747617652289,0.252747617652289,0.252747617652289,0.994932808985042,0.252747617652289,0.252747617652289,0.890702651634188,0.252747617652289,0.252747617652289,0.994932808985042,0.890702651634188,0.994932808985042,0.890702651634188,0.890702651634188,0.994932808985042,0.252747617652289,0.890702651634188
"ASV30",0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.681064342412119,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982,0.220391679722982
"ASV31",0.677658877026879,0.243346359246207,0.677658877026879,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207,0.243346359246207
"ASV32",0.166696098730868,0.166696098730868,0.166696098730868,0.986120753393045,0.790357066928106,0.166696098730868,0.166696098730868,0.166696098730868,0.166696098730868,0.166696098730868,0.986120753393045,0.790357066928106,0.790357066928106,0.166696098730868,0.166696098730868,0.790357066928106,0.166696098730868,0.166696098730868
